"","nus","n","Dist","Chang","Zhang"
"1",0.25,10,"Cayley",70.61,98.29
"2",0.5,10,"Cayley",65.37,99.13
"3",0.75,10,"Cayley",54.53,99.74
"4",0.25,20,"Cayley",80.21,98.11
"5",0.5,20,"Cayley",77.67,98.37
"6",0.75,20,"Cayley",71.7,98.34
"7",0.25,50,"Cayley",85.99,93.54
"8",0.5,50,"Cayley",85.21,94.46
"9",0.75,50,"Cayley",82.33,95.78
"10",0.25,100,"Cayley",87.82,91.51
"11",0.5,100,"Cayley",87.34,92.07
"12",0.75,100,"Cayley",86.12,92.75
"13",0.25,10,"matrix-Fisher",70.79,98.46
"14",0.5,10,"matrix-Fisher",65.51,99.25
"15",0.75,10,"matrix-Fisher",56.14,99.82
"16",0.25,20,"matrix-Fisher",80.19,98.15
"17",0.5,20,"matrix-Fisher",78.17,98.83
"18",0.75,20,"matrix-Fisher",72.28,98.33
"19",0.25,50,"matrix-Fisher",86.19,93.45
"20",0.5,50,"matrix-Fisher",84.33,94.09
"21",0.75,50,"matrix-Fisher",83.4,96.02
"22",0.25,100,"matrix-Fisher",87.66,91.37
"23",0.5,100,"matrix-Fisher",87.97,92.45
"24",0.75,100,"matrix-Fisher",86.27,92.88
