"","Dist","nu","n","Rivest","Fisher","NormalMean","PivotMean"
"1","Cayley",0.25,10,73.4,96.42,83.9,92.2
"2","Fisher",0.25,10,74.6,96.5,84.28,92.22
"3","Mises",0.25,10,78.58,99,86.54,94.94
"4","Cayley",0.5,10,73.26,96.84,83.38,92.48
"5","Fisher",0.5,10,74.74,96.74,83.34,92.72
"6","Mises",0.5,10,82.22,98.9,86.62,95.36
"7","Cayley",0.75,10,71.18,96.44,81.64,92.96
"8","Fisher",0.75,10,73.22,96.98,82.36,93.62
"9","Mises",0.75,10,82.76,99.14,86.08,96.34
"10","Cayley",0.25,20,83.08,92.08,87.62,91.3
"11","Fisher",0.25,20,82.66,91.36,86.98,90.9
"12","Mises",0.25,20,86.62,95.84,89.12,92.28
"13","Cayley",0.5,20,82.9,91.26,86.96,91.06
"14","Fisher",0.5,20,83.1,91.88,87.56,91.52
"15","Mises",0.5,20,87.58,95.36,88.04,92.02
"16","Cayley",0.75,20,81.56,91.24,85.94,92.14
"17","Fisher",0.75,20,82.96,92,86.22,92.36
"18","Mises",0.75,20,88.74,96.46,88.42,94.16
"19","Cayley",0.25,50,87.48,90.22,88.92,90.58
"20","Fisher",0.25,50,87.4,90.02,88.58,89.82
"21","Mises",0.25,50,88.78,90.92,89.74,90.84
"22","Cayley",0.5,50,87.12,89.82,88.36,90.32
"23","Fisher",0.5,50,87.2,89.94,88.6,89.9
"24","Mises",0.5,50,90.1,91.72,90.26,91.3
"25","Cayley",0.75,50,86.56,90.32,88.82,91.04
"26","Fisher",0.75,50,86.56,89.86,88.58,91
"27","Mises",0.75,50,90.26,91.52,89.86,91.54
"28","Cayley",0.25,100,88.46,89.52,88.82,89.3
"29","Fisher",0.25,100,89.26,89.78,90.08,90.2
"30","Mises",0.25,100,89.52,90.06,89.96,90.32
"31","Cayley",0.5,100,88.54,89.86,89.42,89.98
"32","Fisher",0.5,100,88.92,89.72,89.42,89.88
"33","Mises",0.5,100,89.9,89.96,90.08,90.06
"34","Cayley",0.75,100,87.48,89.18,88.44,89.74
"35","Fisher",0.75,100,88.9,89.98,89.54,90.26
"36","Mises",0.75,100,89.72,89.9,90.04,90.36
